Login Date,IP Address,User Agent,Login Type
Thu Feb 24 02:49:00 UTC 2022,160.238.75.222,"Mozilla/5.0 (Linux; Android 11; SM-M215F) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/98.0.4758.101 Mobile Safari/537.36",Login
Sun Mar 13 03:08:38 UTC 2022,160.238.74.30,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/99.0.4844.51 Safari/537.36",Login
Mon Apr 25 18:33:46 UTC 2022,160.238.74.145,LIAuthLibrary:0.0.3 com.linkedin.android:4.1.693 realme_RMX3392:android_12,Login
Wed Aug 31 03:18:10 UTC 2022,160.238.75.96,"Mozilla/5.0 (Linux; Android 12; RMX3392 Build/SP1A.210812.016; wv) AppleWebKit/537.36 (KHTML, like Gecko) Version/4.0 Chrome/104.0.5112.97 Mobile Safari/537.36 Instagram 249.0.0.20.105 Android (31/12; 480dpi; 1080x2285; realme; RMX3392; RE879EL1; mt6877; en_IN; 392286071)",Login
Fri Nov 04 14:46:43 UTC 2022,160.238.74.100,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/107.0.0.0 Safari/537.36",Login
Tue Mar 21 05:18:52 UTC 2023,160.238.74.55,"Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/111.0.0.0 Safari/537.36",Login
Sun Apr 09 21:20:24 UTC 2023,160.238.75.8,"Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/112.0.0.0 Safari/537.36",Login
Tue Apr 11 17:54:45 UTC 2023,160.238.74.128,"Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/112.0.0.0 Safari/537.36",Login
Wed Apr 12 12:45:51 UTC 2023,160.238.75.45,"Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/112.0.0.0 Safari/537.36",Login
Wed Apr 19 16:30:06 UTC 2023,160.238.75.137,"Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/112.0.0.0 Safari/537.36",Login
Mon May 01 07:57:36 UTC 2023,160.238.75.169,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/112.0.0.0 Safari/537.36 Edg/112.0.1722.64",Login
Mon May 01 20:00:49 UTC 2023,160.238.74.170,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/112.0.0.0 Safari/537.36 Edg/112.0.1722.64",Login
Wed May 03 05:04:11 UTC 2023,160.238.74.255,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/112.0.0.0 Safari/537.36 Edg/112.0.1722.64",Login
Tue May 30 06:50:23 UTC 2023,117.216.241.176,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/113.0.0.0 Safari/537.36 Edg/113.0.1774.57",Login
Sun Jun 18 18:07:56 UTC 2023,160.238.75.149,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/114.0.0.0 Safari/537.36 Edg/114.0.1823.43",Login
Sun Jun 25 06:29:21 UTC 2023,160.238.75.124,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/114.0.0.0 Safari/537.36 Edg/114.0.1823.58",Login
Sun Jun 25 06:29:26 UTC 2023,160.238.75.124,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/114.0.0.0 Safari/537.36 Edg/114.0.1823.58",Login
Tue Jul 11 18:55:30 UTC 2023,160.238.75.155,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/114.0.0.0 Safari/537.36",Login
Mon Jul 24 16:31:48 UTC 2023,2402:e280:2149:291:bc21:cc46:61d1:63ca,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/115.0.0.0 Safari/537.36",Login
Tue Sep 19 06:20:14 UTC 2023,160.238.74.118,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/116.0.0.0 Safari/537.36",Login
Tue Sep 19 06:25:55 UTC 2023,160.238.74.118,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/116.0.0.0 Safari/537.36",Login
Thu Dec 28 11:18:26 UTC 2023,160.238.74.62,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/120.0.0.0 Safari/537.36",Login
Thu Feb 01 06:07:51 UTC 2024,14.142.183.234,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/120.0.0.0 Safari/537.36",Login
Wed Feb 07 14:32:12 UTC 2024,106.51.164.86,"Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/120.0.0.0 Safari/537.36",Login
Fri Feb 09 09:51:50 UTC 2024,14.142.183.234,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/121.0.0.0 Safari/537.36",Login
