Date,Type,Link
2024-02-01 14:38:30,LIKE,https://www.linkedin.com/feed/update/urn%3Ali%3Aactivity%3A7158769251875487744
2024-01-25 02:51:04,LIKE,https://www.linkedin.com/feed/update/urn%3Ali%3Aactivity%3A7156106005762768896
2024-01-16 12:18:00,LIKE,https://www.linkedin.com/feed/update/urn%3Ali%3Aactivity%3A7152927853825736704
2024-01-09 14:56:46,LIKE,https://www.linkedin.com/feed/update/urn%3Ali%3Aactivity%3A7150336752828727297
2024-01-08 06:38:40,LIKE,https://www.linkedin.com/feed/update/urn%3Ali%3Aactivity%3A7149991817835388928
2024-01-03 04:02:04,LIKE,https://www.linkedin.com/feed/update/urn%3Ali%3Aactivity%3A7148161063782461440
2024-01-01 07:10:47,LIKE,https://www.linkedin.com/feed/update/urn%3Ali%3AugcPost%3A7145787982246006784
2023-12-29 14:06:26,LIKE,https://www.linkedin.com/feed/update/urn%3Ali%3Aactivity%3A7146373590907510784
2023-12-20 10:26:59,LIKE,https://www.linkedin.com/feed/update/urn%3Ali%3AugcPost%3A7141945323593150464
2023-12-17 17:03:42,LIKE,https://www.linkedin.com/feed/update/urn%3Ali%3Aactivity%3A7140649057462525952
2023-12-15 11:19:43,LIKE,https://www.linkedin.com/feed/update/urn%3Ali%3Aactivity%3A7141287395626323969
2023-12-13 05:21:15,LIKE,https://www.linkedin.com/feed/update/urn%3Ali%3AugcPost%3A7136708434158129152
2023-12-05 06:35:19,LIKE,https://www.linkedin.com/feed/update/urn%3Ali%3Aactivity%3A7137676668000772096
2023-12-05 03:46:06,LIKE,https://www.linkedin.com/feed/update/urn%3Ali%3Aactivity%3A7136984286540267520
2023-12-05 03:45:21,LIKE,https://www.linkedin.com/feed/update/urn%3Ali%3Aactivity%3A7137309451790807040
2023-12-05 03:45:01,LIKE,https://www.linkedin.com/feed/update/urn%3Ali%3Aactivity%3A7137308025412866048
2023-12-02 05:27:33,LIKE,https://www.linkedin.com/feed/update/urn%3Ali%3Aactivity%3A7136202581122433025
2023-12-02 05:27:27,LIKE,https://www.linkedin.com/feed/update/urn%3Ali%3Aactivity%3A7136205235638702080
2023-12-02 05:27:10,LIKE,https://www.linkedin.com/feed/update/urn%3Ali%3Aactivity%3A7136581358117670913
2023-12-02 05:26:43,LIKE,https://www.linkedin.com/feed/update/urn%3Ali%3Aactivity%3A7136578752041390080
2023-11-30 14:20:44,LIKE,https://www.linkedin.com/feed/update/urn%3Ali%3AgroupPost%3A121615-7135927850854928384
2023-11-30 05:36:20,LIKE,https://www.linkedin.com/feed/update/urn%3Ali%3Aactivity%3A7133324327428489218
2023-11-30 05:34:23,LIKE,https://www.linkedin.com/feed/update/urn%3Ali%3Aactivity%3A7135851432095715328
2023-11-30 05:33:55,LIKE,https://www.linkedin.com/feed/update/urn%3Ali%3Aactivity%3A7135852636196503553
2023-11-30 05:33:50,LIKE,https://www.linkedin.com/feed/update/urn%3Ali%3AugcPost%3A7135842020668948481
2023-11-23 07:50:12,LIKE,https://www.linkedin.com/feed/update/urn%3Ali%3Aactivity%3A7133325867220406273
2023-11-22 13:34:35,LIKE,https://www.linkedin.com/feed/update/urn%3Ali%3Aactivity%3A7132972309719519233
2023-11-22 13:34:18,LIKE,https://www.linkedin.com/feed/update/urn%3Ali%3AugcPost%3A7132977871848935424
2023-11-21 12:02:59,LIKE,https://www.linkedin.com/feed/update/urn%3Ali%3Aactivity%3A7132663483925487616
2023-11-03 09:50:19,PRAISE,https://www.linkedin.com/feed/update/urn%3Ali%3Aactivity%3A7126047047018786816
2023-10-27 14:40:10,LIKE,https://www.linkedin.com/feed/update/urn%3Ali%3Aactivity%3A7123647978745065472
2023-10-26 17:26:06,LIKE,https://www.linkedin.com/feed/update/urn%3Ali%3Aactivity%3A7122465708680048640
2023-10-23 15:51:15,PRAISE,https://www.linkedin.com/feed/update/urn%3Ali%3AugcPost%3A7122188130157285376
2023-10-20 14:38:36,LIKE,https://www.linkedin.com/feed/update/urn%3Ali%3Aactivity%3A7121099062614925312
2023-10-17 09:36:19,LIKE,https://www.linkedin.com/feed/update/urn%3Ali%3AugcPost%3A7119975591386222592?commentUrn=urn%3Ali%3Acomment%3A%28ugcPost%3A7119975591386222592%2C7119979008447959040%29
2023-10-17 09:36:15,LIKE,https://www.linkedin.com/feed/update/urn%3Ali%3AugcPost%3A7119975591386222592
2023-10-16 08:00:20,LIKE,https://www.linkedin.com/feed/update/urn%3Ali%3AugcPost%3A7119553057918517248
2023-10-16 05:27:02,LIKE,https://www.linkedin.com/feed/update/urn%3Ali%3AugcPost%3A7119553418553135104
2023-10-16 05:25:53,LIKE,https://www.linkedin.com/feed/update/urn%3Ali%3AugcPost%3A7119553057918517248?commentUrn=urn%3Ali%3Acomment%3A%28ugcPost%3A7119553057918517248%2C7119553756261732352%29
2023-10-13 13:16:38,LIKE,https://www.linkedin.com/feed/update/urn%3Ali%3AugcPost%3A7118485772965486592
2023-10-12 09:41:02,LIKE,https://www.linkedin.com/feed/update/urn%3Ali%3Aactivity%3A7117642758437179392
2023-10-03 12:17:54,LIKE,https://www.linkedin.com/feed/update/urn%3Ali%3Aactivity%3A7114939969411891200
2023-09-29 10:50:38,LIKE,https://www.linkedin.com/feed/update/urn%3Ali%3Aactivity%3A7113226380154163200
2023-09-27 08:10:07,LIKE,https://www.linkedin.com/feed/update/urn%3Ali%3AugcPost%3A7112651208334417920
2023-09-26 16:46:49,LIKE,https://www.linkedin.com/feed/update/urn%3Ali%3Aactivity%3A7107668969225900033
2023-09-26 14:03:17,LIKE,https://www.linkedin.com/feed/update/urn%3Ali%3Aactivity%3A7112339006415089664
2023-09-26 06:21:27,LIKE,https://www.linkedin.com/feed/update/urn%3Ali%3Aactivity%3A7112320133703880704
2023-09-25 16:54:46,LIKE,https://www.linkedin.com/feed/update/urn%3Ali%3AugcPost%3A7111941932838223872
2023-09-25 16:53:26,PRAISE,https://www.linkedin.com/feed/update/urn%3Ali%3AugcPost%3A7112115943211696128
2023-09-25 06:44:42,ENTERTAINMENT,https://www.linkedin.com/feed/update/urn%3Ali%3AgroupPost%3A121615-7108455713579892736
2023-09-22 21:41:44,LIKE,https://www.linkedin.com/feed/update/urn%3Ali%3AugcPost%3A7041572428916940800
2023-09-22 21:39:52,PRAISE,https://www.linkedin.com/feed/update/urn%3Ali%3Aactivity%3A7111057475461664768
2023-09-18 02:20:53,LIKE,https://www.linkedin.com/feed/update/urn%3Ali%3Aactivity%3A7105798363593248769
2023-09-17 18:27:52,LIKE,https://www.linkedin.com/feed/update/urn%3Ali%3Aactivity%3A7104425040632320000
2023-09-11 15:56:50,LIKE,https://www.linkedin.com/feed/update/urn%3Ali%3Aactivity%3A7106581392871854080
2023-09-09 06:24:04,LIKE,https://www.linkedin.com/feed/update/urn%3Ali%3AugcPost%3A7105956979835072512
2023-09-09 05:19:12,LIKE,https://www.linkedin.com/feed/update/urn%3Ali%3Aactivity%3A7080609394693963776
2023-09-08 08:37:54,LIKE,https://www.linkedin.com/feed/update/urn%3Ali%3AgroupPost%3A101591-7105378294270742528
2023-08-25 21:55:37,LIKE,https://www.linkedin.com/feed/update/urn%3Ali%3AugcPost%3A7100000062402879488
2023-08-20 19:14:45,LIKE,https://www.linkedin.com/feed/update/urn%3Ali%3Aactivity%3A7092596329859747840
2023-08-18 09:39:28,LIKE,https://www.linkedin.com/feed/update/urn%3Ali%3Aactivity%3A7097804215422500865
2023-08-11 04:32:42,LIKE,https://www.linkedin.com/feed/update/urn%3Ali%3Aactivity%3A7095619360026759168
2023-08-02 10:33:45,LIKE,https://www.linkedin.com/feed/update/urn%3Ali%3Aactivity%3A7092420102830067712
2023-08-02 04:30:02,LIKE,https://www.linkedin.com/feed/update/urn%3Ali%3Aactivity%3A7092110510292135937
2023-08-02 04:15:31,LIKE,https://www.linkedin.com/feed/update/urn%3Ali%3Aactivity%3A7092355864392568832
2023-07-31 04:47:24,LIKE,https://www.linkedin.com/feed/update/urn%3Ali%3Aactivity%3A7091637567833460736
2023-07-28 04:25:58,LIKE,https://www.linkedin.com/feed/update/urn%3Ali%3Aactivity%3A7090536413355507713
2023-07-25 12:04:54,LIKE,https://www.linkedin.com/feed/update/urn%3Ali%3Aactivity%3A7089455167439306753
2023-07-20 15:00:35,LIKE,https://www.linkedin.com/feed/update/urn%3Ali%3Aactivity%3A7087659074003103745
2023-07-20 15:00:04,LIKE,https://www.linkedin.com/feed/update/urn%3Ali%3Aactivity%3A7071807233860251648
2023-07-11 14:34:46,LIKE,https://www.linkedin.com/feed/update/urn%3Ali%3AugcPost%3A7083497101271154688
2023-07-10 18:30:42,LIKE,https://www.linkedin.com/feed/update/urn%3Ali%3Aactivity%3A7082561708128423936
2023-07-08 09:24:35,LIKE,https://www.linkedin.com/feed/update/urn%3Ali%3Aactivity%3A7082780662750969856
2023-07-07 18:07:26,LIKE,https://www.linkedin.com/feed/update/urn%3Ali%3Aactivity%3A7083016064686530560
2023-06-27 16:48:55,PRAISE,https://www.linkedin.com/feed/update/urn%3Ali%3Aactivity%3A7079376322724020224
2023-06-17 08:52:34,PRAISE,https://www.linkedin.com/feed/update/urn%3Ali%3AugcPost%3A7075711920028209152
2023-06-14 13:46:21,LIKE,https://www.linkedin.com/feed/update/urn%3Ali%3AugcPost%3A7073356292928516096
2023-06-12 03:13:50,LIKE,https://www.linkedin.com/feed/update/urn%3Ali%3Aactivity%3A7073712779186061312?commentUrn=urn%3Ali%3Acomment%3A%28activity%3A7073712779186061312%2C7073740833346207744%29
2023-06-12 03:12:42,LIKE,https://www.linkedin.com/feed/update/urn%3Ali%3Aactivity%3A7073712779186061312
2023-06-09 14:27:37,LIKE,https://www.linkedin.com/feed/update/urn%3Ali%3Aactivity%3A7072920579003056129
2023-06-05 11:56:03,LIKE,https://www.linkedin.com/feed/update/urn%3Ali%3Aactivity%3A7071433653775450112
2023-06-02 17:09:47,LIKE,https://www.linkedin.com/feed/update/urn%3Ali%3AugcPost%3A7070197950106267648
2023-05-27 13:36:45,LIKE,https://www.linkedin.com/feed/update/urn%3Ali%3Aactivity%3A7067933506659643392
2023-05-23 05:07:59,LIKE,https://www.linkedin.com/feed/update/urn%3Ali%3Aactivity%3A7066625998481428480
2023-05-19 11:35:53,LIKE,https://www.linkedin.com/feed/update/urn%3Ali%3Aactivity%3A7037208505052762112
2023-05-19 05:30:56,PRAISE,https://www.linkedin.com/feed/update/urn%3Ali%3Aactivity%3A7065186870434889731
2023-05-19 02:43:40,LIKE,https://www.linkedin.com/feed/update/urn%3Ali%3Aactivity%3A7065001371279736832
2023-05-18 17:31:08,LIKE,https://www.linkedin.com/feed/update/urn%3Ali%3Aactivity%3A7065013421133500416
2023-05-16 16:18:21,PRAISE,https://www.linkedin.com/feed/update/urn%3Ali%3AugcPost%3A7064241220113354752
2023-05-03 11:40:52,LIKE,https://www.linkedin.com/feed/update/urn%3Ali%3AugcPost%3A7059470280842227712
2023-05-03 01:39:24,LIKE,https://www.linkedin.com/feed/update/urn%3Ali%3AugcPost%3A7059155333268529153
2023-05-01 12:50:16,LIKE,https://www.linkedin.com/feed/update/urn%3Ali%3Aactivity%3A7058479245097848832
2023-04-29 08:42:46,LIKE,https://www.linkedin.com/feed/update/urn%3Ali%3Aactivity%3A7057298313527574529
2023-04-29 06:14:45,LIKE,https://www.linkedin.com/feed/update/urn%3Ali%3Aactivity%3A7053230459849236480
2023-04-22 20:20:45,LIKE,https://www.linkedin.com/feed/update/urn%3Ali%3Aactivity%3A7055506728078979072
2023-04-22 05:37:44,LIKE,https://www.linkedin.com/feed/update/urn%3Ali%3Aactivity%3A7055388644013977600
2023-04-18 18:05:03,LIKE,https://www.linkedin.com/feed/update/urn%3Ali%3Aactivity%3A7053940305376493568
2023-04-17 18:54:42,ENTERTAINMENT,https://www.linkedin.com/feed/update/urn%3Ali%3Aactivity%3A7053593263873662976
2023-04-14 16:05:18,LIKE,https://www.linkedin.com/feed/update/urn%3Ali%3AugcPost%3A7052502819244834816
2023-04-10 08:57:07,ENTERTAINMENT,https://www.linkedin.com/feed/update/urn%3Ali%3Aactivity%3A7049341279079440384
2023-04-10 07:31:31,LIKE,https://www.linkedin.com/feed/update/urn%3Ali%3AugcPost%3A7051093796956094465
2023-04-06 16:41:12,LIKE,https://www.linkedin.com/feed/update/urn%3Ali%3Aactivity%3A7041554846583312384
2023-04-06 13:45:21,LIKE,https://www.linkedin.com/feed/update/urn%3Ali%3Aactivity%3A7049571525015814144
2023-04-03 17:56:33,LIKE,https://www.linkedin.com/feed/update/urn%3Ali%3Aactivity%3A7048705990350766080
2023-04-03 16:05:50,LIKE,https://www.linkedin.com/feed/update/urn%3Ali%3AugcPost%3A7048656254520471552
2023-03-31 18:54:29,LIKE,https://www.linkedin.com/feed/update/urn%3Ali%3Aactivity%3A7030054135940997120
2023-03-30 15:42:04,LIKE,https://www.linkedin.com/feed/update/urn%3Ali%3Aactivity%3A7047166693256675328
2023-03-29 09:43:10,LIKE,https://www.linkedin.com/feed/update/urn%3Ali%3AugcPost%3A7046027462614417409
2023-03-27 16:26:37,LIKE,https://www.linkedin.com/feed/update/urn%3Ali%3AugcPost%3A7037662153390108673
2023-03-27 16:26:08,LIKE,https://www.linkedin.com/feed/update/urn%3Ali%3Aactivity%3A7046064952599609344
2023-03-24 16:53:50,LIKE,https://www.linkedin.com/feed/update/urn%3Ali%3Aactivity%3A7044534542593863680
2023-03-24 16:05:50,LIKE,https://www.linkedin.com/feed/update/urn%3Ali%3Aactivity%3A7040681843037224960
2023-03-23 17:20:39,LIKE,https://www.linkedin.com/feed/update/urn%3Ali%3Aactivity%3A7042564312858570753
2023-03-22 20:31:24,LIKE,https://www.linkedin.com/feed/update/urn%3Ali%3AugcPost%3A7042737003372658688
2023-03-22 17:45:08,LIKE,https://www.linkedin.com/feed/update/urn%3Ali%3Aactivity%3A7044156017709854720
2023-03-22 03:43:23,LIKE,https://www.linkedin.com/feed/update/urn%3Ali%3AugcPost%3A7044143666667397120
2023-03-21 18:40:42,EMPATHY,https://www.linkedin.com/feed/update/urn%3Ali%3AugcPost%3A7043862706973491200
2023-03-21 10:39:06,LIKE,https://www.linkedin.com/feed/update/urn%3Ali%3Aactivity%3A7043872661835292673
2023-03-20 15:27:16,LIKE,https://www.linkedin.com/feed/update/urn%3Ali%3Aactivity%3A7042445943580839936
2023-03-18 10:50:17,LIKE,https://www.linkedin.com/feed/update/urn%3Ali%3Aactivity%3A7041326251403313152
2023-03-18 05:39:42,LIKE,https://www.linkedin.com/feed/update/urn%3Ali%3Aactivity%3A7042371946759553024
2023-03-17 09:05:31,LIKE,https://www.linkedin.com/feed/update/urn%3Ali%3Aactivity%3A7042169170477690881
2023-03-15 12:02:47,ENTERTAINMENT,https://www.linkedin.com/feed/update/urn%3Ali%3Aactivity%3A7041065151143247872
2023-03-06 18:15:20,LIKE,https://www.linkedin.com/feed/update/urn%3Ali%3Aactivity%3A7037800958453497856
2023-03-01 03:02:26,ENTERTAINMENT,https://www.linkedin.com/feed/update/urn%3Ali%3Aactivity%3A7036036851991752704
2023-02-25 16:54:21,LIKE,https://www.linkedin.com/feed/update/urn%3Ali%3Aactivity%3A7032944368210612224
2023-02-23 15:30:50,LIKE,https://www.linkedin.com/feed/update/urn%3Ali%3Aactivity%3A7034475758752272384
2023-02-23 06:16:43,LIKE,https://www.linkedin.com/feed/update/urn%3Ali%3Aactivity%3A7034382990596059136
2023-02-18 18:38:06,LIKE,https://www.linkedin.com/feed/update/urn%3Ali%3Aactivity%3A7031609807669252097
2023-02-18 06:15:05,ENTERTAINMENT,https://www.linkedin.com/feed/update/urn%3Ali%3Aactivity%3A7031867798716858368
2023-02-16 17:48:36,LIKE,https://www.linkedin.com/feed/update/urn%3Ali%3Aactivity%3A7031345800504823808
2023-02-15 16:08:57,LIKE,https://www.linkedin.com/feed/update/urn%3Ali%3AugcPost%3A7026540948352327680
2023-02-11 19:12:58,LIKE,https://www.linkedin.com/feed/update/urn%3Ali%3AugcPost%3A7030239535854747648
2023-02-09 07:33:12,LIKE,https://www.linkedin.com/feed/update/urn%3Ali%3Aactivity%3A7028942321937264640
2023-02-04 15:24:23,LIKE,https://www.linkedin.com/feed/update/urn%3Ali%3Aactivity%3A7026868114369720321
2023-02-01 16:51:09,LIKE,https://www.linkedin.com/feed/update/urn%3Ali%3AugcPost%3A7026046456343998464
2023-02-01 15:39:37,LIKE,https://www.linkedin.com/feed/update/urn%3Ali%3Aactivity%3A7025846662975627265
2023-02-01 15:36:46,LIKE,https://www.linkedin.com/feed/update/urn%3Ali%3Aactivity%3A7026395343399374849
2023-01-30 20:18:24,LIKE,https://www.linkedin.com/feed/update/urn%3Ali%3Aactivity%3A7025443118451707904
2023-01-27 14:55:40,LIKE,https://www.linkedin.com/feed/update/urn%3Ali%3Aactivity%3A7024044303756746754
2023-01-27 14:54:01,LIKE,https://www.linkedin.com/feed/update/urn%3Ali%3Aactivity%3A7018832478102544385
2023-01-26 08:58:48,LIKE,https://www.linkedin.com/feed/update/urn%3Ali%3Aactivity%3A7023681784190001152
2023-01-22 14:23:47,LIKE,https://www.linkedin.com/feed/update/urn%3Ali%3AgroupPost%3A25827-7022294455558828032
2023-01-21 13:54:56,ENTERTAINMENT,https://www.linkedin.com/feed/update/urn%3Ali%3Aactivity%3A7021756570086567936
2023-01-20 02:20:33,LIKE,https://www.linkedin.com/feed/update/urn%3Ali%3Aactivity%3A7021916603537580032
